data;denominazione;area_balneazione;provincia;comune;X;Y;enterococchi;escherichia_coli
2024-08-06;FOCE CAPOIALE (30 MT A SINISTRA);IT016071008001;Foggia;Cagnano Varano;555170,9965;4641351,659;0;0
2024-08-07;FOCE CAPOIALE (30 MT A DESTRA);IT016071008002;Foggia;Cagnano Varano;555517,788;4641204,202;27;83
2024-08-07;CAMPING RANCHO;IT016071008004;Foggia;Cagnano Varano;560429,1053;4640626,522;0;0
2024-08-07;LA BATTERIA;IT016071008006;Foggia;Cagnano Varano;557093,6513;4640444,582;0;0
2024-08-07;LERAPPINO;IT016071008007;Foggia;Cagnano Varano;558473,0508;4640520,62;0;0
2024-08-07;LE BARACCHE DEL TRIESTINO;IT016071008012;Foggia;Cagnano Varano;561627,6181;4640726,526;0;0
2024-08-06;FOCE SACCIONE (30 MT A DESTRA);IT016071021001;Foggia;Chieuti;511478,7785;4641643,508;0;0
2024-08-06;TORRE FANTINE;IT016071021002;Foggia;Chieuti;513344,9845;4641276,564;0;0
2024-08-06;TRA T.RE FANTINE E MARINA DI FANTINE;IT016071021003;Foggia;Chieuti;514563,6167;4641020,116;0;0
2024-08-06;MARINA DI FANTINE;IT016071021004;Foggia;Chieuti;516457,5087;4640851,5;0;0
2024-08-06;LE MARINELLE;IT016071021005;Foggia;Chieuti;518457,5045;4640822,423;0;0
2024-08-07;HOTEL BUFALARA;IT016071025001;Foggia;Ischitella;563678,8946;4640933,492;0;0
2024-08-07;FOCE VARANO (30 MT A SINISTRA);IT016071025003;Foggia;Ischitella;565888,4389;4641303,004;0;1
2024-08-07;FOCE VARANO (30 MT A DESTRA);IT016071025004;Foggia;Ischitella;565986,4715;4641320,344;0;1
2024-08-07;LARGO LUNGO;IT016071025005;Foggia;Ischitella;564688,2077;4641066,032;0;0
2024-08-07;1000 MT A DX P. 24;IT016071025012;Foggia;Ischitella;564331,9163;4640039,657;0;0
2024-08-06;ISOLA S.DOMINO RISTORANTE IL PIRATA;IT016071026001;Foggia;Isole Tremiti;541065,6372;4663280,605;6;10
2024-08-06;ISOLA S.DOMINO SPIAGGIA TOURING CLUB;IT016071026002;Foggia;Isole Tremiti;540130,3642;4663130,469;0;0
2024-08-06;ISOLA S. DOMINO FARO;IT016071026003;Foggia;Isole Tremiti;539394,4012;4661512,073;0;0
2024-08-06;ISOLA S. NICOLA PORTICCIOLO;IT016071026004;Foggia;Isole Tremiti;541524,4084;4663250,174;0;1
2024-08-06;ISOLA S. NICOLA DISSALATORE;IT016071026005;Foggia;Isole Tremiti;542418,4507;4663442,538;0;0
2024-08-06;ISOLA CAPRAIA PUNTA SECCA;IT016071026006;Foggia;Isole Tremiti;543277,6619;4665142,823;0;0
2024-08-06;ISOLA S. DOMINO GROTTA DEL SALE;IT016071026007;Foggia;Isole Tremiti;540591,045;4661796,618;0;0
2024-08-06;ISOLA S. DOMINO PUNTA DEL DIAMANTE;IT016071026008;Foggia;Isole Tremiti;540603,8017;4663861,531;0;0
2024-08-06;ISOLA S. NICOLA - TRE SCOGLI;IT016071026009;Foggia;Isole Tremiti;542076,1427;4663777,809;0;0
2024-08-06;ISOLA CAPRAIA CALA PIETRA DI FUCILE;IT016071026010;Foggia;Isole Tremiti;541932,9446;4664361,431;0;0
2024-08-06;IS.S.DOMINO 1400 MT A DX P.091;IT016071026011;Foggia;Isole Tremiti;540816,5267;4662600,504;0;0
2024-08-06;IS. CAPRAIA 800 MT A DX P. 240;IT016071026012;Foggia;Isole Tremiti;542366,757;4664540,22;0;0
2024-08-06;IS. S.NICOLA 1800 MT A DX P. 222;IT016071026013;Foggia;Isole Tremiti;542094,7246;4665039,416;0;0
2024-08-06;LIDO LA SIRENA;IT016071027001;Foggia;Lesina;527052,2315;4640693,93;0;0
2024-08-06;CANALE PUNTA PIETRE NERE(30 MT SINISTRA);IT016071027002;Foggia;Lesina;527995,5596;4640630,203;0;0
2024-08-06;CANALE PUNTA PIETRE NERE(30 MT DESTRA);IT016071027003;Foggia;Lesina;528343,5592;4640766,207;0;0
2024-08-06;LIDO SABBIA D'ORO;IT016071027005;Foggia;Lesina;528994,0469;4639787,287;0;0
2024-08-06;TORRE SCAMPAMORTE;IT016071027007;Foggia;Lesina;539634,4408;4639433,481;0;0
2024-08-06;FOCE SCHIAPPARO 30 MT SN;IT016071027008;Foggia;Lesina;542231,2898;4639891,641;0;0
2024-08-06;PENNACCHIO;IT016071027017;Foggia;Lesina;530618,1778;4639031,137;0;0
2024-08-06;SPEDALE;IT016071027018;Foggia;Lesina;532592,4536;4638810,429;0;0
2024-08-06;ZAPPINO;IT016071027019;Foggia;Lesina;534616,4368;4638872,14;0;0
2024-08-06;GRAVAGLIONE;IT016071027020;Foggia;Lesina;536599,7714;4638983,598;0;0
2024-08-06;S. ANDREA;IT016071027021;Foggia;Lesina;538371,3967;4639241,191;0;0
2024-08-06;CANTO;IT016071027024;Foggia;Lesina;541546,4772;4639748,9;0;0
2024-08-06;FOCE SCHIAPPARO 30 MT DX;IT016071027031;Foggia;Lesina;542285,5272;4639909,473;0;0
2024-08-13;LIDO AURORA;IT016071029001;Foggia;Manfredonia;574931,5483;4606802,188;0;0
2024-08-13;LIDO NETTUNO;IT016071029002;Foggia;Manfredonia;575087,2414;4607182,855;0;0
