provincia;anno;tipologia;patologia;sesso;valore;;
Foggia;1999;dimissioni;cirrosi,altre malattie croniche fegato;F;27.42;;
Foggia;2000;dimissioni;cirrosi,altre malattie croniche fegato;F;31.2;;
Foggia;2001;dimissioni;cirrosi,altre malattie croniche fegato;F;22.54;;
Foggia;2002;dimissioni;cirrosi,altre malattie croniche fegato;F;21.96;;
Foggia;2003;dimissioni;cirrosi,altre malattie croniche fegato;F;21.54;;
Foggia;2004;dimissioni;cirrosi,altre malattie croniche fegato;F;20.94;;
Foggia;2005;dimissioni;cirrosi,altre malattie croniche fegato;F;23.9;;
Foggia;2006;dimissioni;cirrosi,altre malattie croniche fegato;F;24.17;;
Foggia;2007;dimissioni;cirrosi,altre malattie croniche fegato;F;25.36;;
Foggia;2008;dimissioni;cirrosi,altre malattie croniche fegato;F;23.4;;
Foggia;2009;dimissioni;cirrosi,altre malattie croniche fegato;F;19.44;;
Foggia;2010;dimissioni;cirrosi,altre malattie croniche fegato;F;20.71;;
Foggia;2011;dimissioni;cirrosi,altre malattie croniche fegato;F;19.79;;
Foggia;2012;dimissioni;cirrosi,altre malattie croniche fegato;F;17.21;;
Foggia;2013;dimissioni;cirrosi,altre malattie croniche fegato;F;16.4;;
Foggia;2014;dimissioni;cirrosi,altre malattie croniche fegato;F;13.99;;
Foggia;2015;dimissioni;cirrosi,altre malattie croniche fegato;F;11.37;;
Foggia;2016;dimissioni;cirrosi,altre malattie croniche fegato;F;12.83;;
Foggia;2017;dimissioni;cirrosi,altre malattie croniche fegato;F;10.57;;
Foggia;2018;dimissioni;cirrosi,altre malattie croniche fegato;F;11.17;;
Foggia;2019;dimissioni;cirrosi,altre malattie croniche fegato;F;9.99;;
Foggia;2020;dimissioni;cirrosi,altre malattie croniche fegato;F;6.94;;
Foggia;2021;dimissioni;cirrosi,altre malattie croniche fegato;F;9.43;;
Foggia;2022;dimissioni;cirrosi,altre malattie croniche fegato;F;9.84;;
Foggia;2023;dimissioni;cirrosi,altre malattie croniche fegato;F;10.17;;
Foggia;2024;dimissioni;cirrosi,altre malattie croniche fegato;F;9.51;;
Bari;1999;dimissioni;cirrosi,altre malattie croniche fegato;F;39.72;;
Bari;2000;dimissioni;cirrosi,altre malattie croniche fegato;F;38.39;;
Bari;2001;dimissioni;cirrosi,altre malattie croniche fegato;F;25.88;;
Bari;2002;dimissioni;cirrosi,altre malattie croniche fegato;F;19.9;;
Bari;2003;dimissioni;cirrosi,altre malattie croniche fegato;F;19.27;;
Bari;2004;dimissioni;cirrosi,altre malattie croniche fegato;F;23.01;;
Bari;2005;dimissioni;cirrosi,altre malattie croniche fegato;F;22.77;;
Bari;2006;dimissioni;cirrosi,altre malattie croniche fegato;F;22.24;;
Bari;2007;dimissioni;cirrosi,altre malattie croniche fegato;F;19.26;;
Bari;2008;dimissioni;cirrosi,altre malattie croniche fegato;F;19.55;;
Bari;2009;dimissioni;cirrosi,altre malattie croniche fegato;F;14.55;;
Bari;2010;dimissioni;cirrosi,altre malattie croniche fegato;F;16.68;;
Bari;2011;dimissioni;cirrosi,altre malattie croniche fegato;F;15.08;;
Bari;2012;dimissioni;cirrosi,altre malattie croniche fegato;F;12.08;;
Bari;2013;dimissioni;cirrosi,altre malattie croniche fegato;F;10.01;;
Bari;2014;dimissioni;cirrosi,altre malattie croniche fegato;F;8.05;;
Bari;2015;dimissioni;cirrosi,altre malattie croniche fegato;F;6.45;;
Bari;2016;dimissioni;cirrosi,altre malattie croniche fegato;F;4.62;;
Bari;2017;dimissioni;cirrosi,altre malattie croniche fegato;F;4.86;;
Bari;2018;dimissioni;cirrosi,altre malattie croniche fegato;F;3.25;;
Bari;2019;dimissioni;cirrosi,altre malattie croniche fegato;F;2.53;;
Bari;2020;dimissioni;cirrosi,altre malattie croniche fegato;F;2.08;;
Bari;2021;dimissioni;cirrosi,altre malattie croniche fegato;F;1.78;;
Bari;2022;dimissioni;cirrosi,altre malattie croniche fegato;F;1.76;;
Bari;2023;dimissioni;cirrosi,altre malattie croniche fegato;F;2.07;;
Bari;2024;dimissioni;cirrosi,altre malattie croniche fegato;F;2.36;;
Taranto;1999;dimissioni;cirrosi,altre malattie croniche fegato;F;29.66;;
Taranto;2000;dimissioni;cirrosi,altre malattie croniche fegato;F;27.44;;
Taranto;2001;dimissioni;cirrosi,altre malattie croniche fegato;F;20.52;;
Taranto;2002;dimissioni;cirrosi,altre malattie croniche fegato;F;22.6;;
Taranto;2003;dimissioni;cirrosi,altre malattie croniche fegato;F;21.55;;
Taranto;2004;dimissioni;cirrosi,altre malattie croniche fegato;F;22.34;;
Taranto;2005;dimissioni;cirrosi,altre malattie croniche fegato;F;24.15;;
Taranto;2006;dimissioni;cirrosi,altre malattie croniche fegato;F;29.98;;
Taranto;2007;dimissioni;cirrosi,altre malattie croniche fegato;F;29.14;;
Taranto;2008;dimissioni;cirrosi,altre malattie croniche fegato;F;25.94;;
Taranto;2009;dimissioni;cirrosi,altre malattie croniche fegato;F;19.15;;
Taranto;2010;dimissioni;cirrosi,altre malattie croniche fegato;F;22.86;;
Taranto;2011;dimissioni;cirrosi,altre malattie croniche fegato;F;19.84;;
Taranto;2012;dimissioni;cirrosi,altre malattie croniche fegato;F;18.54;;
Taranto;2013;dimissioni;cirrosi,altre malattie croniche fegato;F;16.23;;
Taranto;2014;dimissioni;cirrosi,altre malattie croniche fegato;F;11.18;;
Taranto;2015;dimissioni;cirrosi,altre malattie croniche fegato;F;10.08;;
Taranto;2016;dimissioni;cirrosi,altre malattie croniche fegato;F;9.59;;
Taranto;2017;dimissioni;cirrosi,altre malattie croniche fegato;F;6.0;;
Taranto;2018;dimissioni;cirrosi,altre malattie croniche fegato;F;6.05;;
Taranto;2019;dimissioni;cirrosi,altre malattie croniche fegato;F;5.55;;
Taranto;2020;dimissioni;cirrosi,altre malattie croniche fegato;F;3.7;;
Taranto;2021;dimissioni;cirrosi,altre malattie croniche fegato;F;2.8;;
Taranto;2022;dimissioni;cirrosi,altre malattie croniche fegato;F;2.15;;
Taranto;2023;dimissioni;cirrosi,altre malattie croniche fegato;F;2.76;;
Taranto;2024;dimissioni;cirrosi,altre malattie croniche fegato;F;2.81;;
Brindisi;1999;dimissioni;cirrosi,altre malattie croniche fegato;F;19.14;;
Brindisi;2000;dimissioni;cirrosi,altre malattie croniche fegato;F;18.39;;
Brindisi;2001;dimissioni;cirrosi,altre malattie croniche fegato;F;16.47;;
Brindisi;2002;dimissioni;cirrosi,altre malattie croniche fegato;F;11.6;;
Brindisi;2003;dimissioni;cirrosi,altre malattie croniche fegato;F;12.91;;
Brindisi;2004;dimissioni;cirrosi,altre malattie croniche fegato;F;14.63;;
Brindisi;2005;dimissioni;cirrosi,altre malattie croniche fegato;F;12.33;;
Brindisi;2006;dimissioni;cirrosi,altre malattie croniche fegato;F;15.35;;
Brindisi;2007;dimissioni;cirrosi,altre malattie croniche fegato;F;14.37;;
Brindisi;2008;dimissioni;cirrosi,altre malattie croniche fegato;F;14.81;;
Brindisi;2009;dimissioni;cirrosi,altre malattie croniche fegato;F;10.14;;
Brindisi;2010;dimissioni;cirrosi,altre malattie croniche fegato;F;11.21;;
Brindisi;2011;dimissioni;cirrosi,altre malattie croniche fegato;F;15.04;;
Brindisi;2012;dimissioni;cirrosi,altre malattie croniche fegato;F;13.8;;
Brindisi;2013;dimissioni;cirrosi,altre malattie croniche fegato;F;16.34;;
Brindisi;2014;dimissioni;cirrosi,altre malattie croniche fegato;F;17.72;;
Brindisi;2015;dimissioni;cirrosi,altre malattie croniche fegato;F;11.85;;
Brindisi;2016;dimissioni;cirrosi,altre malattie croniche fegato;F;5.42;;
Brindisi;2017;dimissioni;cirrosi,altre malattie croniche fegato;F;5.26;;
Brindisi;2018;dimissioni;cirrosi,altre malattie croniche fegato;F;4.53;;
Brindisi;2019;dimissioni;cirrosi,altre malattie croniche fegato;F;3.21;;
Brindisi;2020;dimissioni;cirrosi,altre malattie croniche fegato;F;2.15;;
Brindisi;2021;dimissioni;cirrosi,altre malattie croniche fegato;F;3.71;;
Brindisi;2022;dimissioni;cirrosi,altre malattie croniche fegato;F;2.19;;
Brindisi;2023;dimissioni;cirrosi,altre malattie croniche fegato;F;2.11;;
Brindisi;2024;dimissioni;cirrosi,altre malattie croniche fegato;F;2.53;;
Lecce;1999;dimissioni;cirrosi,altre malattie croniche fegato;F;25.78;;
Lecce;2000;dimissioni;cirrosi,altre malattie croniche fegato;F;19.72;;
Lecce;2001;dimissioni;cirrosi,altre malattie croniche fegato;F;23.76;;
Lecce;2002;dimissioni;cirrosi,altre malattie croniche fegato;F;17.54;;
Lecce;2003;dimissioni;cirrosi,altre malattie croniche fegato;F;16.35;;
Lecce;2004;dimissioni;cirrosi,altre malattie croniche fegato;F;13.04;;
Lecce;2005;dimissioni;cirrosi,altre malattie croniche fegato;F;17.72;;
Lecce;2006;dimissioni;cirrosi,altre malattie croniche fegato;F;15.33;;
Lecce;2007;dimissioni;cirrosi,altre malattie croniche fegato;F;14.88;;
Lecce;2008;dimissioni;cirrosi,altre malattie croniche fegato;F;12.55;;
Lecce;2009;dimissioni;cirrosi,altre malattie croniche fegato;F;9.51;;
Lecce;2010;dimissioni;cirrosi,altre malattie croniche fegato;F;11.6;;
Lecce;2011;dimissioni;cirrosi,altre malattie croniche fegato;F;12.49;;
Lecce;2012;dimissioni;cirrosi,altre malattie croniche fegato;F;8.88;;
Lecce;2013;dimissioni;cirrosi,altre malattie croniche fegato;F;10.37;;
Lecce;2014;dimissioni;cirrosi,altre malattie croniche fegato;F;8.29;;
Lecce;2015;dimissioni;cirrosi,altre malattie croniche fegato;F;6.97;;
Lecce;2016;dimissioni;cirrosi,altre malattie croniche fegato;F;5.4;;
Lecce;2017;dimissioni;cirrosi,altre malattie croniche fegato;F;4.18;;
Lecce;2018;dimissioni;cirrosi,altre malattie croniche fegato;F;5.28;;
Lecce;2019;dimissioni;cirrosi,altre malattie croniche fegato;F;3.75;;
Lecce;2020;dimissioni;cirrosi,altre malattie croniche fegato;F;2.64;;
Lecce;2021;dimissioni;cirrosi,altre malattie croniche fegato;F;1.8;;
